stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,39,2,0,0,0,0,9,0,0,0,0,3,7,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0
72hpf,0.56,0,0,15.22,1.41,0,0,0,0,0,0,0,0,0,2.25,12.4,0,0,0,0,1.97,2.25,0,0.28,0,0,0.28,0,0,0,0
21Day,0.74,0,0.37,59.2,0.37,3.33,0.74,0,0.37,0,0,0,1.85,0,4.07,12.58,0.74,1.48,0,0.37,4.44,4.81,0.37,0,1.11,0.74,0,0,0,0,0
3Month,0.1,0.1,0.1,25.59,0.1,0,0,0.31,0.1,0,2.29,0.52,0,0.83,4.06,12.17,0.83,0.73,0.21,0.21,0.1,0,0.31,0,0.21,2.39,0,0,0.1,0.1,0.42
22Month,0,0,0.68,4.92,0,0,0,0.14,0.41,0,4.1,0,0.14,0.27,0.55,1.09,0.41,0.14,0,0,0,0,0.14,0,0,1.64,0,0.27,0,0,0.27
