stage,Cardiomyocyte,Epithelial_cell,Goblet_cell,Hepatocyte,Immune_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte
24hpf,0,1,0,0,0,0,0,0,0,1,2,0,0,0,0
72hpf,0,0,0,0,0,0,0,1.13,0,0,0,1.13,0,0,0
21Day,0,0,0,0,0,0.37,0,3.7,0,0.74,0.37,0.37,0.37,0,0
3Month,0.1,0.21,0.21,0.31,0.1,0.1,0.21,0.42,0.21,0,0,0,2.7,0.1,0.1
22Month,0,0,0,0.55,0,0,0,0,0.14,0,0,0,0.14,0,0
