stage,Epithelial_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Macrophage,Neural_cell,Neural_progenitor_cell,Pancreatic_cell,Primordial_germ_cell,T_cell
24hpf,0,0,0,0,0,0,1,1,0,0,0
21Day,0,0,0,0,0,0,0,0.37,0,0,0
3Month,0,0,0,0,0,0.1,0.62,0,0,0.1,0.1
22Month,0.14,0.27,0.27,0.14,0.14,0.14,0.14,0,0.14,0.14,0
