stage,Hepatocyte,Immune_cell,Ionocyte,Keratinocyte,Spermatocyte,T_cell
21Day,0,0,0,0,0,0.37
3Month,0.52,0.1,0.1,0,0.21,0
22Month,0.55,0,0,0.14,0,0
