stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,1,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,0,0,0,0,2,11,0,0,0,0,0,0,0,0,0
72hpf,1.69,1.69,0,0.56,0,0.28,0,0,0,0,0,0,0,0,0,0,0.28,2.82,0.28,2.82,0,0,0.28,0.28,3.1,1.41,0,0,1.69,0,0,0.28,0,0,0
21Day,0.74,0.74,0,2.96,0,2.22,0,0,0,0,0,0.37,0.37,0,0.37,0.37,0,2.22,0.74,5.92,0,0,0.74,0,0.37,0,0,0.37,2.22,0.37,0,0.37,0,0,0
3Month,0,0.83,0.1,3.85,0.1,0,0.1,0.1,0.1,0.83,1.56,0,5.93,2.18,0.1,0.62,0.1,1.87,1.98,1.87,0.52,0,0.42,0,0.21,0.1,0.21,0.31,0,0.42,1.04,0,2.6,0.52,1.98
22Month,0,1.5,0.27,0.96,0,0,0,0.14,0,0.14,2.46,0.27,3.96,0.68,0.41,0.68,0,0.27,1.5,1.09,0,0.14,0.41,0,0,0,0.14,0.14,0,0,0,0,0.27,0,0.68
