stage,Cardiomyocyte,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Hatching_gland,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte
24hpf,0,0,1,0,0,0,0,1,0,0,0,0,37,0,0,0,3,0,0,0,0,0,0,0
72hpf,0.56,0,7.89,0.28,0.28,0,0,0,0,0,0,0.85,74.41,0,1.13,3.66,1.97,0,1.13,0,0,0,0,0
21Day,0,0,6.66,0,0.37,0,0,0,0,0,0,0,10.36,0,0,0.74,0,0,0.37,0,0.37,0.37,0,0
3Month,0,0.1,24.55,0,0,0.1,0.21,0,0.94,0.31,0.42,0.21,1.46,0.31,0.21,0,0,0.1,0,0.1,1.14,0,0.1,0.31
22Month,0,0,2.19,0,0,0,0,0,1.23,0.14,0.14,0,0.55,0.14,0,0,0,0,0,0,0.27,0,0,0
