stage,Cardiomyocyte,Epithelial_cell,Erythrocyte,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell
24hpf,0,0,0,0,0,0,0,2,0,14,0,0,0,0,0,0,0
72hpf,1.97,1.41,3.38,0,0,0,0.85,1.69,9.58,65.39,0,0.85,4.23,0.56,107.67,0,0.28
21Day,0,0.37,0.37,0.37,0.37,0.37,0.74,1.85,2.59,15.17,0.37,0.37,0.37,1.85,41.07,0.74,0.37
3Month,0,0,0,0.31,0,0,0,0,0,0,0,0,0,0,0,0,0
22Month,0,0,0,0.41,0,0.14,0,0,0,0,0,0,0,0,0,0,0
