stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,5,25,0,0,0,0,0,0,0,1,0,0,0
72hpf,1.97,7.89,0,3.38,0.28,1.97,0,0,0,0,0,0,0,0,0,1.41,1.69,1.13,133.88,0,0.28,0,0.28,80.33,16.63,0,0.28,38.9,0,0,1.97,0.28,0,0,0,0
21Day,4.44,4.81,0.37,24.79,0,4.07,1.11,0,0.37,0,0,1.48,0,1.85,1.48,1.85,1.85,1.85,159.09,0,0,1.11,0,58.46,12.95,1.11,0,7.03,8.51,0,1.11,1.85,0,0,0,1.85
3Month,0,11.55,0.21,4.99,0,0,0,0,0.31,1.04,0,3.22,1.66,0.31,1.04,0.42,1.14,3.43,29.23,9.26,0,1.56,0.1,0.1,0,1.56,0,0.62,0.73,5.1,0.1,0,0,0.73,2.6,2.5
22Month,0.14,24.19,0.27,1.78,0.14,0,0,0.14,0,2.05,0.41,7.79,0.68,0.41,0.55,0.14,0.14,2.05,16.94,1.78,0.41,0.55,0,0.27,0,0.82,0,0,0.14,3.28,0,0,0,0.14,0,1.37
