stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,1,1,0,0,0,0,2,12,0,0,0,0,0,0,0,0,0,0
72hpf,6.48,0,0,0.56,0.28,0.28,0,0,0,0,0,0,0,0.28,0,0.56,2.82,0,2.82,0,0,0.28,0,2.82,3.1,0.28,0.28,0,4.23,0,0.56,0,0,0,0
21Day,0,0,0,4.07,0,0,0,0,0,0,0,0,0,0,0,0,7.4,0,1.11,0,0,0.37,0,0,0.37,0,0,0,0.74,0,0,0.37,0,0,0
3Month,0.21,0.52,0.1,11.55,0,0,0.1,0.52,1.35,1.46,0,3.12,3.64,0.42,2.5,1.04,1.87,1.77,2.18,0.31,0,0.62,0.42,0.42,0.1,0.31,0.1,0,0.1,3.02,0,0,1.14,0.62,3.64
22Month,0,2.73,0.41,4.1,0,0,0.68,0.27,0.41,5.19,0.82,16.26,1.64,0.55,8.06,0.82,0.55,1.5,3.28,0.14,0.27,0.68,0.14,0.14,0,0.27,0.14,0.27,0.14,1.23,0.14,0,0.27,0,1.91
