stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0.28,0.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.46,0.85,0,0,0,0,0,0,0.28,0,0,0,0
21Day,0,0.37,0,0.37,0,0,0,0,0,0,0,0,0,0,0,0.37,0,0,0,0,0,10.36,0.37,0,0,0,0,0.37,0.37,0,1.11,0,0,0
3Month,0,0.42,0.1,4.16,0,0.1,0.1,0.31,0.42,0,8.63,1.25,2.08,0.42,1.66,0.94,1.04,0.21,0,0.1,0.31,26.52,0.1,0.21,0,0,0.1,0.21,2.08,0,0,0.21,0.42,0.21
22Month,0,0.14,0.14,0.55,0,0,0,0.27,0.55,0.14,22.27,0.41,1.5,0.14,0.14,0.41,1.37,0,0.27,0,0,15.3,0,0.41,0.14,0.27,0,0,1.09,0.14,0.14,0.14,0,0.55
