stage,Endothelial_cell,Epithelial_cell,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,0,3,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,14,0,0,0,0,0,0,0,0,0,0
72hpf,0,0.28,0,0,0,0,0,0,0,0,1.13,0,0,0,0,0,1.97,0.28,0,0,0,4.79,0,0,0,0,0,0
21Day,0,0.37,0,0,0,0.37,0,0.37,0,0,0,0,0.37,0,0,0.37,2.59,0.74,0,0,0,25.16,0.37,0.37,1.48,0,0,0
3Month,0.1,1.56,0,0.1,0.1,1.04,0.21,0,0.42,0,0.21,0.1,0.21,0.1,0,0,0,0,0,0.1,0,0.73,0,0.21,0,0.1,0.1,0.1
22Month,0.14,0.27,0.14,0,0.55,6.01,0.14,0,1.37,0.14,0,0.55,0.82,0,0.41,0,0,0,0.14,0,0.14,0.14,0,0.27,0,0.14,0,0.14
