stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Granulocyte,Granulosa_cell,Hepatocyte,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Radial_glia,Retinal_cell,Smooth_muscle_cell,Spermatocyte
24hpf,1,0,0,1,0,0,0,0,0,0,0,0,5,0,0,0,0,0,7,0,0,0,0,0,0
72hpf,0.56,0.56,0,1.69,0,0,0,0,0,0.28,1.97,0,1.69,0,0,0,0,1.13,1.13,1.13,0,0.85,0,0,0
21Day,2.22,0,0.37,2.59,0.37,0,0,0,0,0,1.85,0,2.59,0,0,0,0,0.74,0.37,1.11,0.37,0,0,0,0
3Month,0,0,0,0.83,0,0.1,0.1,0.52,0.1,0,0.62,0.21,0.42,0.1,0,0,0.1,0,0,0,0,0,0.1,0.21,0.1
22Month,0,0,0,0.55,0,0.27,0.27,1.37,0,0,0.14,0,0.27,0,0.14,0.14,0,0,0,0,0,0,0,0,0
