stage,Cardiomyocyte,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Granulocyte,Granulosa_cell,Hepatocyte,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neurosecretory_cell,Oligodendrocyte,Pancreatic_cell,Primordial_germ_cell,Spermatocyte,T_cell
72hpf,0.28,0,0,6.2,0,0,0,0,0,0,0,0,0,0,0.85,0,0,0,0,0,0
21Day,0,0,0.74,18.87,0,2.22,0,0,0,0,0,0,0,0,0.74,0,0,0,0.37,0,0
3Month,0,0.1,0.21,0,0.31,0,0.42,0,0.62,0.1,0,0.21,0.1,0,0,0.1,0.21,0.1,0.31,0.1,0.1
22Month,0,0,0,0,0,0,0,0.27,0.96,0.27,0.14,0,0,0.14,0,0,0.68,0,0,0,0.14
