stage,Endothelial_cell,Epithelial_cell,Erythroid_progenitor_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0.28,0.56,0.85,0.28,0,0,0,0,0.28,0,0,0
21Day,0,0.37,0,0,0.37,0,0,0.37,1.85,1.48,1.11,0,0,1.48,0,1.48,0.74,0,0
3Month,0.1,0.52,0,0,0.52,0.21,0.1,0.21,0.21,0.1,0,0.1,0.1,0,0.42,0,0,0.21,0.21
22Month,0,0.14,0.14,0.14,1.64,0,0,0,0.27,0.14,0,0,0,0,0.27,0.14,0,0,0
