stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,2,0,0,0,0,0,0,0,0,1,0,88,6,0,0,0,0,0,0,0
72hpf,0.56,0,0,0,0,0,0,0,0,0.85,0,18.04,1.69,0.56,0,0,0.28,0.85,0,0
21Day,0,0,1.48,0.37,0,0,0,0.37,1.11,0.74,0,14.8,0.74,1.11,0.74,0,0,0,0,0.37
3Month,0,0.1,0,0,0,0,0,0,0,0.21,0.21,0.21,0,0,0,0.1,0,0,0.1,0
22Month,0,0,0.27,0,0.14,0.82,0.14,0,0.14,0.27,0,0,0,0,0,0,0,0,0,0
