stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
72hpf,0.56,0,0,0.28,0,0,0,0,0,0,0,0,0.28,0.56,0.28,0.28,0,0,0,0.28,1.13,0,0,0.85,0,0,0,0,0,0,0
21Day,0.37,0,0,1.11,0,0,0,0,0,0,0.74,0,0.37,4.07,1.85,1.48,0,0,0,0,0.37,0,0,0.37,0,0,0,0,0.37,0,0.37
3Month,0.21,0.1,0.42,1.35,0.1,0.1,0.1,0,0.73,0.1,0.21,4.37,0,0.21,1.46,0.31,0,0,0.21,0,0,0.21,0.1,0,0.1,0.62,0,0,0,0.21,0.21
22Month,0,0.27,0.96,1.5,0,0.41,0.55,1.23,7.38,0,0.41,13.66,0,0.27,2.19,0.14,0.14,0.27,0,0.14,0,0.27,0,0,0,0.82,0.27,0.14,0,0,0.14
