stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Immune_progenitor_cell,Ionocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell
24hpf,0,1,1,0,0,2,2,0,0,12,0,0,0
72hpf,0,0,0.28,0,0,0,0.28,0,2.82,0.56,0,0,0
21Day,0.37,0,0,0.37,0.37,0,0,0.37,2.59,0.37,0.37,0.37,0.37
