stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Granulocyte,Granulosa_cell,Hepatocyte,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte
24hpf,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,32,0,0,0,0,0,0,0
72hpf,2.25,0.28,0.85,0,0,0,0,0,0.28,0,0.56,0.56,0,0,31.57,3.95,0,0,0,0,2.25,0,0
21Day,1.48,0,0.74,0.74,0,0,0.74,0,0,0.37,0,0.74,0,0,14.43,1.48,0,0,0.37,0,0.74,0,0
3Month,0,0,0.42,0,0.1,0,0.31,0.31,0,0,0,0.21,0.1,0.1,0.1,0,0,0,0.1,0.1,0,0.1,0.73
22Month,0,0,0.55,0,0.27,0.14,1.23,0.14,0,0.14,0,0.14,0,0,0.14,0.14,0.14,0.41,0,0,0,0,0
