stage,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0.28,0,0,0,0.85,0,0,0,0,0,0,0.28,0,0,0.28,0,0,0
21Day,0.37,0,0.74,0,0,0,0,0,0.37,0,0,0.37,0,0,0,1.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.37
3Month,0,0.42,2.18,0,0.1,0.52,0.62,0,30.27,1.14,0.21,3.85,0.52,0.73,0.83,0.73,0.21,0.1,0.62,0,0.21,0.1,0.42,0.1,0.1,0.31,6.55,0,0.52,76.56,0.83
22Month,0.27,0.41,2.32,0.14,0,0.27,0.41,1.23,95.79,0.27,0.41,1.64,0.14,0.14,0.96,0.96,0,0.41,0.14,0.14,0.14,0,0.41,0.14,0,0.41,2.05,0.14,0,0,0.96
