stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.28,0,0,0,0.28,0,0,0,0,0,0,0
21Day,0.37,0.37,0,1.11,0,0,0,0,0,0,0,0,2.59,0,0,0.37,0,0,0,0,0,0,0.37,0,0,0,0,0.37,0,0,0.37,0,0,11.47
3Month,0,0.21,0,3.02,0.1,0.62,0,0.42,1.14,0,4.78,1.25,0.83,1.77,0.21,0.94,1.66,1.14,0.1,0,0.1,0.52,0,0.1,0.52,0,0,0.42,1.87,0,0,0.52,0.83,93.51
22Month,0.14,0.68,0.55,1.78,0.14,0,0.14,0.14,1.37,0.55,6.15,0.27,0.68,0.82,0,0.41,1.23,1.64,0.14,0.55,0.14,0,0,0.14,0,0.27,0,0.27,0.14,0.14,0,0.14,0,42.09
