stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Hatching_gland,Hepatocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Radial_glia,T_cell
24hpf,2,0,0,1,0,0,0,0,0,9,0,0,0
72hpf,0.56,0,0,0,0,0,0,0.56,1.13,2.25,0.28,0.56,0
21Day,0,0.37,0.37,0,0,0.37,0,0.74,0,1.85,0.37,0,0
3Month,0,0,0.31,0,0,0,0.1,0,0,0,0,0,0
22Month,0,0,0,0,0.68,0.14,0,0,0,0,0,0,0.14
