stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,T_cell
24hpf,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,1.69,0,0.28,0,0,0,0,0.28,0,0.56,0,3.38,0.28,0.28,0,0,0,0,0,0
21Day,2.22,0.37,0,0,0,0,0,0,0,0,0,2.59,0,0,0,0,0.37,0.37,0,0
3Month,0.73,0.21,0.1,0.31,0,0.52,0.1,0,0.42,0.31,0,0,0,0,0.21,0,0,0,0.1,0.1
22Month,0.82,0.27,0.27,0.14,0.14,2.05,0,0,0.41,0.82,0.27,0,0,0.14,0,0.27,0,0,0,0
