stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,37,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
72hpf,0,0.28,0,0,0,0,0,0.85,0,0,0,0,0,0,0,1.97,0.28,0,0,0,0,0.56,0.28,0,0,0,0,0.28,0,0,0,0
21Day,0,0.37,0,0.74,0,0,0,4.44,0,0,0,0.74,0,0,0,4.44,0.74,0,0,0.74,0,0,0,0,0,0,0,0,0,0,0,0
3Month,0.1,0.1,0.1,1.04,0,0,0.1,21.95,0,1.35,0.1,0.1,0.21,0.1,0.1,12.17,0.42,0.21,0,0.21,0.21,0,0,0.1,0.1,0.1,0.62,0,0.1,0,0.31,0.21
22Month,0,1.64,0.14,1.64,0.68,0.27,0.27,156.6,0.27,4.92,1.23,2.05,0.96,0,0.27,74.88,0.27,0,0.27,0.41,0,0,0,0,0,0.27,2.19,0.41,0.14,0.27,0,0.55
