stage,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,4.51,0,0.28,0,0,0,0,0,0,0,0,0,0
21Day,0,0,2.96,0,0,0,0,0,0,0,0,0,0,3.7,0,0,0,0,0,0,0,0.37,0,0,0,0.37
3Month,0,0.1,3.64,0,0,0.21,0,0,1.56,0,0.21,2.7,0.1,0.83,0.1,0.42,0.21,0,0,0,0,0.21,0.31,0,0.21,0.1
22Month,0.27,0.41,0.96,0.27,0.14,0.41,0.82,1.09,27.74,0.96,0.96,3.01,0,0.55,0.96,3.28,0,0.82,0.27,0.27,0.14,0,0.14,0.14,0,0.41
