stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.85,0.28,0,0,0,0,0,0.28,0,0,0,0,0,0,0,0,0,0,0
21Day,0.74,0,1.11,0.37,0,0,2.59,0,0,0,4.07,0,0,0.37,29.6,0.74,0,0,0,0,0.74,0,0,0,0,0.37,0.37,0,0,0,0,0,4.44
3Month,0.1,0.21,3.64,0,0.21,0.42,23.82,0,1.98,11.86,0.42,1.56,0.42,0.62,43.9,1.14,0.21,0.1,0.1,0.21,0,0.21,0.31,0.31,0,0,0.31,0.1,1.14,0,0.73,0.52,48.06
22Month,0,0.14,1.09,0,0.27,0,18.58,0.41,3.42,2.32,0.41,0.41,0,0.14,22,0.55,0,0.14,0,0,0,0,0.14,0.14,0.14,0,0,0,0.41,0.27,0,0,18.86
