stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0.56,0,0.28,0,0,0,0,0,0,0,0,0,0,0,0,0.85,0,0,0,0,6.48,3.66,0,0.85,0,0,0,0,0,0,0
21Day,1.11,0.37,0,1.48,0.37,1.11,0,0.74,0,0,0,0,0,0.74,0,0.37,0.74,0.37,2.59,0,0,0.37,0,2.59,2.22,0,0.74,0.37,0,0.37,0,0,0,0.37
3Month,0.1,0.31,0.1,3.02,0,0,0.1,0,0.21,0.62,0,5.72,1.25,0.1,1.77,0.31,1.66,1.25,1.56,0.31,0,0.1,0.21,0.31,0.1,0.1,0.1,0,3.43,0.21,0,0.31,0.52,1.77
22Month,0,0.27,0,1.09,0,0,0,0.27,0,0.55,0.14,9.16,0.27,0.55,1.37,0,0,1.64,0.55,0,0.14,0,0,0.14,0,0,0,0.14,0.55,0,0.14,0.14,0,0.27
