stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,T_cell
24hpf,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2,0,0,0,0,0,0,0,0
72hpf,0.28,0.28,0,0,0,0,0,0,0,0,0,0.28,0,0,0.56,0.28,0.28,0,0,9.3,0.28,0,0,0.85,0,1.13,0.28,0,0
21Day,0,0,0,0,0.37,0,0,0,0,0,0,0.37,0,0,0,0,0.74,0,0,2.22,0.74,0,0,0,0,0.37,0,0,0
3Month,0,0,0.1,1.04,0,0,0.1,0.42,0.52,0.42,0.42,0,0.31,0.1,0.21,0.31,1.25,0.52,0.31,0.21,0,0,0,0.21,0.42,0.42,0,0.1,0.31
22Month,0,0,0.14,0.68,0,0.14,0,1.91,0.27,2.19,0.14,0,0.96,0,0.27,0.27,1.37,0,0,0.14,0,0.55,0.82,0.14,0.14,0.41,0.14,0.14,0.14
