stage,Enterocyte,Epithelial_cell,Hepatocyte,Intestinal_bulb_cell,Mesenchymal_cell,Mt_rich_cell,Retinal_cell
3Month,0.1,0.21,10.71,0.1,0,0,0
22Month,0,0,14.21,0,0.14,1.37,0.14
