stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Hepatocyte,Immune_progenitor_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Retinal_pigment_epithelial_cell,T_cell
24hpf,0,1,1,0,0,0,1,3,4,3,45,0,0,0
72hpf,0.85,0,0,0,0,0.28,0.56,0,0,3.66,2.25,0.28,0.28,0
21Day,0.37,0,0.37,0,0.74,0,0,0,2.96,1.48,0.74,1.48,0,0
3Month,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0.1
22Month,0,0,0,0.41,0,0,0,0,0,0,0,0,0,0
