stage,Cardiomyocyte,Epithelial_cell,Erythrocyte,Granulocyte,Hepatocyte,Intestinal_bulb_cell,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte
24hpf,67,1,0,0,0,0,1,0,0,0,0,0,0,0,0
72hpf,17.19,0,0.56,0,0,0,0.28,0.28,0.85,0.28,0,0,0.28,0,0
21Day,10.73,0,0.37,0,0,0,0.74,0.74,0,0,0,0,0,0,0
3Month,0.1,0,0,0.1,0.21,0,0.1,0,0,0,0.1,0.73,0,0.1,0.31
22Month,0,0,0,0.14,1.09,0.14,0,0,0,0,0.14,0.14,0,0.14,0
