stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Mesenchymal_cell,Mt_rich_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Spermatocyte
24hpf,1,2,0,5,0,0,0,0,0,0,0,0,1,0,0,45,1,0,0,0,0
72hpf,0.85,0.28,0,0.56,0,0,0,0,0,0,1.69,1.69,1.41,0.28,3.38,9.3,0.85,0,0.28,0,0
21Day,0.37,0,0,0.37,0.74,1.85,0,0,0.37,0,0.37,0,0,0,0.74,5.55,1.11,0,0,0.37,0
3Month,0,0,0.1,0.21,0,0,0.31,0.1,0,0.21,0,0.1,0,0,0,0,0,0.21,0,0,0.31
22Month,0,0,0,0.27,0,0,1.37,0,0,0.27,0,0,0,0,0,0,0,0,0,0,0
