stage,Cardiomyocyte,Enterocyte,Epithelial_cell,Erythroid_progenitor_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,T_cell
24hpf,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0.28,0,0.28,0.28,0,0,0,23.96,2.54,0.56,0,0,0.28,0,0
21Day,0.74,0,3.33,0.74,0,0,0,1.85,0.74,0,0,0,1.11,0,0,0,4.81,1.85,0.37,1.11,0,0,0,0.37
3Month,0,0.1,1.14,0,1.14,1.98,0.1,0.1,0.52,0,0.1,1.25,0.42,0,0,0.21,0,0,0,0.1,0.21,0,0.1,0.83
22Month,0,0.14,0.68,0,1.78,5.88,0,0.14,0.41,0,0.14,0.27,0.41,0.14,0.27,0.14,0,0,0,0,0,0,0,0.27
