stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Goblet_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Pancreatic_cell,Retinal_pigment_epithelial_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
72hpf,0,0.28,0.85,0,0,0,0,0.28,1.13,0,0.56,0,0.28,0.28,0,0,0.28,0
21Day,0.37,0,0.74,0,0,0,0,0,0.37,0,0.37,0.37,0,0.37,0,0,0,0.37
3Month,0,0,0.62,0.1,0.52,0.1,0,0,0,0.1,0.1,0.1,0,0,0.1,0.1,0,0.1
22Month,0,0,0.55,0,0.82,0,0.27,0,0,0.41,0.41,0,0,0,0,0,0,0.27
