stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte__Liver_,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte
24hpf,5,3,1,0,0,0,0,0,0,0,1,0,0,0,5,0,0,0,0,0,0,0
72hpf,0.28,0,0,0,0,0,0,0,1.13,0,0.28,0,0,1.97,0,0,0.28,0,0,0.28,0,0
21Day,0,0,0.37,0,0,0,0,0,0.37,0,0.37,0,0,0.37,0,0,0,0,0.74,0,0,0
3Month,0,0.1,1.35,0.1,0.21,0.42,0.21,0,0.1,0.21,0.31,0.21,0.1,0,0,0,0,0.21,18.72,0,0.21,1.77
22Month,0,0,0,0.14,0.68,0.68,0,0.14,0,0.14,0.14,0,0,0,0,0.55,0,0,7.11,0,0,0
