stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Granulocyte,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,2,13,2,0,0,0,0,0,0,0,0,0,0,0
72hpf,0.28,0.28,0,0.28,0.28,0,0,0.28,0,0,0,0,0,0.28,0.28,1.41,0,0,77.79,9.58,0.28,1.13,2.54,1.41,0,3.38,0,0,0.85,0,0,0
21Day,0.74,0.74,0.37,2.59,3.33,0,0.37,0.37,0,0,0,0.37,0,0,0.37,4.81,0,0,75.11,7.4,0.37,1.11,1.48,5.55,0,1.11,0.37,1.48,0.37,0,0,0.37
3Month,0,0,0,0.1,0,0,0,0.1,0,1.25,0,0,0.21,0.21,0.31,0.31,0.1,0.21,0.21,0,0.73,0,0,0.1,0.31,0.1,0,0,0,0.1,0.42,0.21
22Month,0,0,0,1.09,0,0.14,0,0.14,0,6.42,0.14,0,0.68,0,0.55,1.23,0,0,0,0.14,0.55,0,0,0.14,0.14,0.27,0,0,0,0.27,0,0.41
