stage,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.28,0,0,0,0,0,0,0,0,0
21Day,0,11.47,0.37,0.74,0,0,0,0,0.37,0,1.11,0,0,0.37,0,0.37,0.74,0.37,0,0.37,0.37,0.37,0,0,0,0
3Month,0,0.94,0.94,0,0.1,0.1,0.1,0,20.08,0.62,4.78,0.1,0.21,0.42,0,0,0.1,0,0.1,0,0.31,0.62,0,0.1,0.52,0.1
22Month,0.27,0.55,0.27,0,0,0.55,0,0.14,29.11,0,5.06,0.14,0.14,0.27,0.14,0,0,0,0,0,0,0,0.14,0,0,0
