stage,Cardiomyocyte,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Smooth_muscle_cell,T_cell
24hpf,0,0,7,0,0,0,0,2,0,0,0,0,1,11,0,1,0,0,2,0,0,0,0,0,0
72hpf,0,0,3.38,0.28,0,0,0,0,0,0,0,0,0.85,12.68,0,0,0,0.85,0.56,0,0.56,0,0,0,0
21Day,0,0,13.69,0,0,0.37,0,0,0,0,0.37,0,1.11,5.18,0,0.74,0.74,0.74,0,0,0,0,0,0,0
3Month,0.1,0.1,4.78,0,0,0.31,0.1,0,0.83,0.21,0,0.31,0.52,1.04,0.1,0,0,0.1,0,0,0,0.21,0.1,0.21,0
22Month,0,0,0.82,0,0.14,0.14,0.14,0,1.37,0,0,0,0.14,0.14,0.27,0.27,0,0.14,0,0.14,0,0,0,0,0.14
