stage,Cardiomyocyte,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell
24hpf,2,6,0,0,0,0,0,0,0,2,1,4,0,0,1,3,0,0,0,0,0,0,0
72hpf,0.28,0.28,2.54,0,0,0,0,0,0,1.41,0,1.13,0,0,1.97,0.56,0.28,1.97,0,0,0,0,0
21Day,0.74,3.33,2.59,0.74,0,1.85,0,0.37,0.37,1.11,0,1.48,0,0.37,1.11,1.11,0,2.22,0.37,0.37,1.11,0.37,4.07
3Month,0,0.31,0,0.1,0,0.21,0.21,0,0,0.21,0.21,0.1,0.1,0.1,0.21,0,0,0,0,0,0.1,0,0
22Month,0,0,0,0,0.14,0.27,0,0.14,0,0,0,0,0,0,0,0.14,0,0,0,0,0,0,0
