stage,Cardiomyocyte,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0
72hpf,0,0,0.28,0,0,0,0,0,0,0,0,0,0,0,0,0.56,0,1.13,3.1,0,0.28,0.28,0,0,0,0
21Day,1.11,0.37,0,0.37,0,0,0,0,0,0.37,0,0,0.37,0,0.37,0,0,1.48,0.74,0.37,0,0.37,0.37,0,0,0
3Month,0,0.42,0,0,0.1,0.21,0,0.21,0.1,0,0.1,0.31,0.1,0.1,0.1,0,0.1,0,0.21,0,0,0,7.8,0.1,1.66,0.31
22Month,0,0.14,0,0,0,0.27,0.14,1.23,0,0.14,0.55,0,0,0.14,0.27,0.14,0,0,0,0.14,0,0,1.91,0,0,0
