stage,Epithelial_cell,Goblet_cell,Granulocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Muscle_cell,Neural_cell,Pancreatic_cell
21Day,0.37,0,0,0,0,0,0,0.37,0
3Month,0.83,1.35,0.1,0.1,0.42,0.1,2.6,0,0.1
22Month,0,0,0,0,0,0,0.55,0,0
