stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0
72hpf,0,0,0,1.41,0.28,0,0,0,0,0,0,0,0,0,0,0,0.28,2.82,0,0,0,0,0,0,4.51,0.28,0,0,0,1.41,0,0.28,0,0,0,0,0
21Day,3.33,0.37,0,142.44,0,2.22,0,1.48,0,0,0,0,0,0.37,1.48,0,7.4,58.46,3.7,4.07,0,0,4.07,0,4.81,4.07,0,0,0,1.48,4.44,1.11,0,0.37,0,0,0.37
3Month,0.21,0.83,3.43,190.56,0.21,0,0.73,0.1,0.21,13.52,2.91,0,6.76,3.12,0.1,5.2,17.27,7.8,4.58,2.5,0.52,0.1,2.91,3.02,0.62,0.21,0.1,0.1,0,0,0.83,10.51,0.21,0,0.62,5.62,2.08
22Month,0.14,0.82,7.24,141.43,0.27,0,0.96,0,0,20.91,2.87,0.41,9.98,0.55,0.55,12.98,4.92,2.6,3.96,2.73,0,0.68,9.02,0.68,0.68,0.14,0.27,0.14,0.41,0.14,0.55,5.74,0.14,0,0,0,0.96
