stage,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0.56,0.28,0,0,0,0.28,0,0,0,0,0,0,0,0,0,0,0,0,1.41,0.28,0,0,0.28,0,0,1.69,0,0,0,0,0
21Day,0,0,1.11,0,0,0,0.37,0,0,0,0.37,0,0,1.11,0.37,0,0,0,0,0,0.74,0.37,0.37,0,0,0,0.74,0.37,0.37,0,0,0,0
3Month,0.21,0.42,8.95,0.21,0.1,0.52,1.04,0,4.47,1.25,0,1.46,0.94,1.66,1.14,0.73,0.1,0.1,0.21,0.42,1.04,0.1,0.42,0.31,0.1,0.42,3.12,0.31,0,0.1,0.52,122.12,0.62
22Month,0,0,2.19,0,0,0.27,0.68,0.27,6.7,0.27,0.41,0.55,0.14,0.96,1.78,0.68,0.14,0.27,0.14,0,0,0,0.27,0,0,0.14,0.82,0.27,0,0,0,0.27,0.27
