stage,Endothelial_cell,Epithelial_cell,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.56,0,0,0,0,0,0
21Day,0,0,0,0,0,0,0,0,0,0,0,0,0.37,0,0,0,0.37,0,0,0,0,0,1.48,0,0,0,0
3Month,0.42,2.18,0.1,0.21,0.83,3.43,1.25,0.21,1.25,0.31,0.83,0.62,0.73,0.1,0.1,0.31,0.1,0,0.31,0.1,0.1,0.73,53.15,0.1,0.73,121.49,1.04
22Month,0.14,0,0,0,0,1.5,0,0.14,0.27,0,0,0,0,0,0,0,0,0,0,0,0,0,9.98,0,0.14,0.14,0
