stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,97,0,0,0,2,0,0,0,0,0,0,0,0
72hpf,1.41,0.56,0,0.56,1.97,1.41,0.28,0,0,0,0,0.28,0,1.69,3.1,0.56,9.58,0,0.56,0.28,0,15.5,67.08,0,3.38,0,7.61,0,0,13.81,0.28,0.28,0,0,0
21Day,2.96,0,0,5.55,1.11,3.33,3.7,0.37,0.37,0,0,3.33,0,0.74,2.22,1.11,6.66,0,0,0.37,0,3.33,14.43,0,1.11,0,2.96,0.37,0.37,51.8,0,0.37,0,0,0.74
3Month,0,0.1,0,2.39,0.1,0,0,0.42,0.73,4.78,0.62,0,0.83,0.31,0.42,0.52,0.83,0.31,0,0.52,0.21,0.1,0,0.21,0.42,0,0.31,0.21,51.49,1.56,0,0,0,15.71,0.83
22Month,0,0.55,0.68,0.82,0.27,0,0.27,0.14,0.41,13.66,0.96,0.55,3.01,0.14,0.68,1.09,0.68,0.14,0.41,0.27,0,0.14,0.14,0.14,0.27,0.14,0,0.14,4.65,0.82,0,0.14,0.14,0,0.14
