stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,4,1,0,0,0,0,0,0,0,0,0,6,0,0,6,0,0,0,3,2,67,0,0,1,0,0,0,0,0,0,0,0
72hpf,0.56,0,0,2.25,3.38,0.28,0,0,0,0,0,0,0,0,1.13,1.69,0,1.69,0,0,0,0.28,2.82,8.17,0,0,0.56,0,0,4.79,0,0.28,0,0,0
21Day,0.74,0,0,2.22,4.81,0.74,0,0,0,0,0,0,0.37,0,0.37,0.37,0.37,0,0,0,0,0,0.74,3.33,0,0,0,0,0.37,0.74,0,0,0,0,0.37
3Month,0.21,0.62,0.21,16.75,0.42,0,0,0.94,4.06,0,6.97,1.46,0.1,2.7,2.81,1.04,1.25,1.46,0.83,0.21,0.31,0.52,0.73,0.1,0.31,0.21,0.1,0.42,3.12,0,0,0.1,0.62,121.08,2.08
22Month,0.14,0.41,0,7.11,0,0,0.14,0.27,3.83,0.68,11.62,0.27,0,1.91,0.27,0.27,0.41,0.68,0,0.41,0,0,0.27,0.14,0.41,0.14,0,0,0.96,0,0.14,0,0,0.55,1.5
