stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,1.97,185.74,0,1.69,0,0,0,0,0.85,0,0,1.97,0.56,0.85,0,0.28,0,0,4.51,2.54,0,0,1.13,0,0,0,0.56,0,0.28,0,0,0,0
21Day,1.11,0,0,2.22,161.31,0,11.47,0,0,0.37,0,8.14,0.37,0.37,1.48,10.73,1.85,0,0,0.37,0,5.18,0,0,0,0.37,5.92,0,0,0,0.37,1.48,0,0,0,29.6
3Month,0.21,0.83,0.1,3.85,0,4.26,4.47,0.52,4.68,4.58,64.39,1.14,1.98,0.94,1.04,11.03,1.46,0.52,0.1,0.42,0.42,0.21,0,0.1,0.21,0.21,0.52,0.1,1.35,0,0.1,0,0.1,0.62,1.04,110.57
22Month,0.27,0.14,0,0.68,0,0.82,1.23,0,1.64,3.01,6.01,0.55,0.68,0.14,0,3.42,0.27,0,0.14,0,0,0,0,0.14,0,0,0.14,0,0,0,0,0,0,0,0,22.82
