stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7,7,0,0,0,0,0,0,0,0,1,0
72hpf,7.05,0.85,0,3.95,0.56,6.2,0,0,0,0.28,0,0,0,0,0,0,0.56,8.74,0.85,6.48,0,1.13,0.28,823.84,19.45,0,5.07,9.02,0,0,3.95,0,0.85,1.13,0
21Day,5.92,0.37,0,8.14,0.37,8.51,0,0.37,0,0.37,0,0,0.37,0,0.74,1.11,0.74,3.7,1.11,6.29,0.37,0,0.74,347.42,7.4,0,4.07,4.81,5.55,0.37,1.85,1.11,2.59,0.74,2.59
3Month,0.1,0.1,0,1.46,0.21,0,0.21,0,0.52,0.31,0,0,2.18,0.1,0.42,1.25,0.21,0.73,0.42,0.52,0,0,0,4.47,0.1,0.1,3.12,0,0.1,1.87,0,0,0,0,0.21
22Month,0,0.14,0.14,1.23,0.27,0,0,0,0.14,1.5,0.14,0,9.7,0.68,0,1.5,0,0.14,0.68,0.82,0,0.55,0,3.01,0,0,1.37,0.41,0.14,1.23,0.27,0,0,0,0.27
