stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,1.41,0,0.56,1.41,0,0,0,0,0,0,0,1.97,0.28,1.41,0,0,0,120.35,6.2,0.28,0.28,2.25,0,0,1.69,0,0,0.28,0,0,0
21Day,0.74,0,3.33,1.48,0,0,0.37,0,0,0.74,0,0.74,0.37,2.96,0,0,0,75.11,1.85,0.37,0,2.96,1.85,0,0,0,0.74,0,0,0,0
3Month,0,0,0.62,0,0.1,0,0.1,0.83,0.1,0.31,0,0.42,0,3.22,0,0.1,0,1.98,0,0.31,0,0,0.1,0.21,0.1,0.1,0,0,0.21,0.31,0
22Month,0,0.14,2.46,0,0,0.14,0.82,4.1,0.14,0,0,0.14,0.68,1.23,0.14,0,0.14,5.33,0,0.55,0,0,0,0.55,1.09,0,0,0.14,0,0,0.14
