stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,4,3,0,70,0,0,0,0,0,0,2,0,0,0,0,1,2,2,39,0,0,0,0,9,121,0,0,0,3,0,0,0,0,1,0,0,0
72hpf,4.79,3.66,0,32.13,2.25,1.69,0,0,0.28,0,0,0,0,0,0,0.56,7.89,0,22.83,0,0,0.85,1.13,10.15,14.37,0,0,0,14.37,0,0,6.2,0,4.23,0,0,0
21Day,3.7,0.74,0,12.21,2.22,0,0,0.37,0,0,0,0,0,0,0,0,1.85,0.37,16.28,0,0,3.7,0.37,3.33,4.07,0,0.37,0,7.03,2.59,0,1.11,0.37,0.37,0,0,0
3Month,0.21,4.06,0.94,17.99,0.42,0,0,0.73,1.35,0.31,0,16.64,1.04,0.31,2.18,1.56,14.35,1.66,12.38,1.46,0,1.35,2.18,0.31,0.31,0.21,0.21,0,0.31,0.21,8.53,0.31,0,0.62,4.16,0.73,1.04
22Month,0,4.24,1.09,10.93,0,0,0.14,0.41,1.37,2.32,0,65.59,0.68,0.41,3.01,0.27,3.42,1.5,6.01,0,1.91,0.68,0.14,0.27,0.68,0.14,0.27,0.14,0.14,0.14,5.19,0.82,0,0,0.96,0,0.14
