stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,8.17,0,0,1.41,1.69,6.2,0,0,0,0,0,0,0.28,0,1.13,8.17,1.97,6.48,0.56,0.85,0.28,748.31,33.82,2.82,18.32,9.3,0.56,0,11.84,0.28,0.28,1.13,0,0,0
21Day,3.33,0.37,0.37,8.14,0,9.62,0,0.74,0,0.37,0.37,0.37,4.44,1.85,1.85,4.07,2.96,22.94,0,2.59,0,311.53,13.32,4.81,17.02,5.55,12.95,0,7.4,1.11,2.22,0.74,0,0,1.48
3Month,0.1,0.21,0,0.94,0,0,0,0.1,0.21,0.73,2.6,0.94,0.1,1.14,0.1,0.73,0.62,1.98,0,0.1,0.1,2.39,0.73,12.27,1.77,0,0.1,0.62,0.83,0,0,0.31,0.21,14.25,0.94
22Month,0.14,0,0,0.27,0,0,0.27,0.27,0.27,0.96,7.93,0.27,0.27,0.68,0,0.14,1.37,1.64,0,0,0,5.88,0.41,11.89,3.14,0,0,1.23,1.23,0,0,0,0.14,0.41,0.82
