stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,2,4,0,0,0,60,0,1,0,0,0,0,0
72hpf,0.56,0.56,0,1.41,0,0.28,0,0.28,0,0,0,0,0,0,0,1.41,0,5.36,0,0,3.38,11.84,0,2.25,0,0.28,0,0,0
21Day,1.85,0,0,1.85,1.48,2.59,0,1.11,0,0,0.37,0,1.11,0,0,0,0.37,8.14,1.48,0,1.48,4.07,0,2.59,0,1.11,0.37,0,0
3Month,0,0,0.1,2.18,0,0,0,0.1,0.1,0.83,1.35,0.94,0,0.21,0,0.42,0.31,0.1,0,0.21,0.1,0,0.1,0,7.49,0,0.31,23.92,1.04
22Month,0,0,0,0.14,0,0,0.14,0,0,0.27,0.55,0.14,0.14,0,0,0,0.41,0.41,0,0,0,0,0,0,0.14,0,0,0,0
