stage,Cardiomyocyte,Epithelial_cell,Erythrocyte,Granulocyte,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Spermatocyte
24hpf,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0
72hpf,0.28,0.28,0,0,0,0,0,0.85,0,0,0,26.21,1.69,0,0.28,0.85,0,0,0.28,0,0
21Day,0,0,0.37,0,0,0.37,0,0.37,0,0,0,19.24,2.22,0.37,0.37,0,0.74,0,0.37,0.37,0
3Month,0.1,0.31,0,0.1,0.42,0,0.1,0,0.1,0.1,0,0,0,0,0,0,0,0.42,0,0,0.42
22Month,0,0,0,0,1.09,0,0,0,0.14,0,0.14,0,0,0,0,0,0,0.27,0,0,0
