stage,Enterocyte,Epithelial_cell,Erythroid_progenitor_cell,Granulocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Macrophage,Nephron_cell,Pancreatic_cell,Primordial_germ_cell,Spermatocyte,T_cell
21Day,0,0,0,0,0.37,0,0.37,0,0.37,0,0,2.59
3Month,0.1,0.42,0.1,0.1,0,0.1,0.1,0.1,0,0.52,2.29,1.46
