stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Granulocyte,Hepatocyte,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,4,2,0,4,0,0,0,0,0,0,0,0,23,0,0,2,69,0,0,0,0,0,0,0,0,0,0
72hpf,1.13,0,0,1.41,1.41,0,0,0,0,0.28,2.82,0.28,6.2,0,0,5.07,18.04,0,1.41,0,0,0.28,0,0,0,0,0
21Day,0.37,0,0.37,3.33,1.11,0.37,0,0,0,0,1.48,0,4.07,0,0.37,0.74,10.73,0,4.07,1.11,0,0,0.37,0,0,0,0
3Month,0,0,0,1.35,0,0,0,0.73,0.1,0,0.62,0.31,2.5,0,0,0,0.1,0.1,0,0.1,0.21,0,0,0.1,0.31,2.29,0.1
22Month,0,0,0,0,0,0,0.14,0.68,0,0,0.14,0,0.41,0.14,0,0,0.14,0,0,0,0.55,0,0,0,0,0,0
