stage,Endothelial_cell,Enterocyte,Epithelial_cell,Granulocyte,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_progenitor_cell,Retinal_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
21Day,0,0,0,0,0,0,0,0,0.37,0,0,0,0,0,0
3Month,0,0,0,0,0.31,0,0,0,0,0,0,0,0,0,0
22Month,0.27,0.14,0.82,0.68,2.05,0.14,0.14,0.14,16.67,0.27,0.14,0.14,0,0.27,0.68
