stage,Cardiomyocyte,Epithelial_cell,Erythroid_progenitor_cell,Hepatocyte,Neural_cell,Neural_progenitor_cell,Pancreatic_cell,Radial_glia,Retinal_cell
24hpf,1,0,0,0,0,1,0,0,0
72hpf,0,0,0,0,7.33,0.85,0,0.28,0
21Day,0.37,0.37,0.37,0,5.55,1.85,0.37,0,0.37
22Month,0,0.14,0.14,0.41,0,0,0,0,0
