stage,Cardiomyocyte,Keratinocyte,Neural_cell,Neural_progenitor_cell,Pancreatic_cell,Radial_glia,Retinal_cone_cell
72hpf,0.28,0,7.89,0.56,0,0,0.28
21Day,0,0.37,3.33,0.74,0.37,0.37,0
