stage,Endothelial_cell,Epithelial_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Primordial_germ_cell,Spermatocyte
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
72hpf,0,0.28,0,0,0,0,0,0,0.28,0,0,0,8.74,0.85,0,0,0
21Day,0,0.37,0,0,0,0,0,0.37,0,0.37,0,0,5.18,0.37,0,0,0
3Month,1.04,0.42,0.31,0,0.52,0.1,0.21,0,0,0.42,0.21,0.1,19.24,0,0,0.73,0.73
22Month,1.23,0.14,0.41,0.14,0.68,0,0,0,0,0.27,0.14,0,9.84,0,0.14,0.14,0
