stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Radial_glia,Spermatocyte,T_cell
24hpf,11,0,0,13,0,0,0,0,1,0,0,0,0,0,5,30,22,0,1,3,127,0,0,6,0,0,0,0,0,0
72hpf,0.56,0,0,0,0,0,0,0,0,0,0,0,0,0.28,0,0.85,0,0,0,0.28,0.28,0,0,0.28,0,0,0.28,0,0,0
21Day,0.37,0,0,1.11,0,0.74,0,1.11,0,0,0,0,0,0,0.37,0,0,0,0,0.37,2.59,0,0,0,0.37,0,0.37,0,0,0
3Month,0,0.42,0.1,3.85,0.1,0,0.1,0.52,0,1.35,11.03,0,0.52,0.1,0.83,2.7,0.94,0.1,0.1,0.1,0,0.31,0,0.21,0.21,0.21,0.73,0,0.94,0.94
22Month,0,0,2.73,4.37,0,0,1.91,0.14,0,1.5,0,0.14,15.71,0,0.14,1.5,0.41,0.27,0.14,0.82,0.27,0.68,0.14,0,0.14,0,3.14,0.14,0.14,0.68
