stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,4,0,1,0,0,0,0,0,0,0,0,0,0,6,1,2,0,0,0,0,3,0,0,0,0,0,0,0,0
72hpf,4.23,0.28,0.56,0.28,0.28,0,0,0,0,0,0,0,0,22.83,0,0,0,0.28,2.54,5.64,0.28,0,0.56,0,0,0.28,0,0,0
21Day,3.7,0,4.44,0,18.5,0,14.43,0,0,0.37,0.37,0,0,9.25,0.37,1.11,0,0,14.8,2.96,1.48,0.37,1.11,1.11,0.37,0.37,0,0,0
3Month,0.1,0.21,3.54,0.1,0,0.1,0.31,0.31,0.21,1.25,0.31,0,0.42,0.52,0.42,0.31,0.42,0,1.35,0.21,0,0.94,0,0.21,9.15,0,0.1,1.35,0.42
22Month,0,0,0.27,0.14,0,0.14,0,0.14,0.14,2.87,0.27,0.14,0.68,0,0.14,0.55,0,0.41,0.96,0,0,0.27,0,0,0.96,0,0.14,0,0
