stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,31,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,3.1,0,0.28,0,0,0,0,0,0,0,0,0,49.04,0,0,0,0,0,0,3.1,0.85,0,0,0,0.85,0,0,0,0,0,0,0
21Day,0.37,0,0,9.25,0.74,1.11,0,0,0,0,0,0,0,0,0.74,18.87,0,0.37,0,0,0,0,0.37,0,0,0.37,0,0,0,0,0,0.37,0,0,0
3Month,0.1,0.1,0.1,58.87,0.31,0,0.42,0.83,0.73,0,6.66,1.14,0.1,2.18,1.56,10.3,1.14,0.83,0.52,0.1,1.35,0.52,0.94,0.21,0.21,0,0,0,0.83,0.42,0.1,0,1.35,0.52,0.62
22Month,0,0.27,0.96,17.76,0.55,0,0.14,0.41,0.55,0.55,14.62,0.68,0.27,1.5,0.68,2.73,1.37,1.23,0,0.68,0.41,0,0,0.14,0.55,0.41,0.27,0,0.14,0.41,0.14,0,0.14,0,0.41
