stage,Cardiomyocyte,Epithelial_cell,Hepatocyte,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Spermatocyte
24hpf,1,2,0,0,2,1,3,0,0,0,2,26,1,0,0,0,0,0
72hpf,0,0.28,0,0,0.28,0.28,0.56,0,0,0,2.54,1.69,0.28,0,0,0.28,0.28,0
21Day,0.37,1.11,0,0,0,0,4.44,0,0.74,0,0.37,1.48,1.48,0.74,0,0,0,0
3Month,0.1,0.21,0.31,0.1,0,0,0.42,0.1,0,0.1,0,0,0.1,0,0.1,0,0,0.1
22Month,0,0,0.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
