stage,Erythroid_progenitor_cell,Intestinal_bulb_cell,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Spermatocyte
24hpf,1,0,1,0,0,0,0
72hpf,0,0,0.28,0.56,0.28,0.28,0
21Day,0,0,0,0.37,0,0,0
3Month,0,0.1,0,0,0,0,0.21
