stage,Endothelial_cell,Enterocyte,Epithelial_cell,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Pancreatic_cell,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte,T_cell
72hpf,0,0,0.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0.28,0,0,0,0,0,0,0,0
3Month,0.1,0.1,2.91,0.1,0.83,0.1,0,0.31,0.1,0.42,4.37,0.1,0.83,0.62,0.21,0.1,0,0,0.21,0.1,0.31,0.83,0.1,0.1,0.52
22Month,0,0.41,0.41,0,0.27,0.14,0.14,1.23,0,0.27,2.46,0,0,0.55,0.27,0.27,0,0.14,0,0,0,0.41,0,0,0.41
